run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
141,Min Heap Insert,1000,261200,0.0,1,2026-08-19T09:16:47.095651700
142,Min Heap Extract,1000,585900,0.0,1,2026-08-19T09:16:47.095651700
143,Min Heap Insert,1000,391100,0.0,2,2026-08-19T09:16:47.095651700
144,Min Heap Extract,1000,538300,0.0,2,2026-08-19T09:16:47.095651700
145,Min Heap Insert,1000,216700,0.0,3,2026-08-19T09:16:47.095651700
146,Min Heap Extract,1000,509600,0.0,3,2026-08-19T09:16:47.095651700
147,Min Heap Insert,5000,1595600,0.0,1,2026-08-19T09:16:47.095651700
148,Min Heap Extract,5000,3152700,0.0,1,2026-08-19T09:16:47.095651700
149,Min Heap Insert,5000,519900,0.0,2,2026-08-19T09:16:47.095651700
150,Min Heap Extract,5000,2325400,0.0,2,2026-08-19T09:16:47.095651700
151,Min Heap Insert,5000,518400,1040.015625,3,2026-08-19T09:16:47.095651700
152,Min Heap Extract,5000,1151900,0.0,3,2026-08-19T09:16:47.095651700
153,Min Heap Insert,10000,1027700,0.0,1,2026-08-19T09:16:47.095651700
154,Min Heap Extract,10000,2343400,0.0,1,2026-08-19T09:16:47.095651700
155,Min Heap Insert,10000,1009500,64.015625,2,2026-08-19T09:16:47.095651700
156,Min Heap Extract,10000,2427900,943.96875,2,2026-08-19T09:16:47.095651700
157,Min Heap Insert,10000,1044200,0.0,3,2026-08-19T09:16:47.095651700
158,Min Heap Extract,10000,2131600,0.0,3,2026-08-19T09:16:47.095651700
159,Min Heap Insert,20000,2023700,1056.015625,1,2026-08-19T09:16:47.095651700
160,Min Heap Extract,20000,4506900,0.0,1,2026-08-19T09:16:47.095651700
161,Min Heap Insert,20000,1454600,991.984375,2,2026-08-19T09:16:47.095651700
162,Min Heap Extract,20000,3766200,128.015625,2,2026-08-19T09:16:47.095651700
163,Min Heap Insert,20000,1536700,1024.0,3,2026-08-19T09:16:47.095651700
164,Min Heap Extract,20000,3882900,128.015625,3,2026-08-19T09:16:47.095651700
165,BST Insert,100,3731300,0.0,1,2026-08-19T09:16:47.095651700
166,Red Black Tree Insert,100,2199300,767.96875,1,2026-08-19T09:16:47.095651700
167,BST Search,100,496100,0.0,1,2026-08-19T09:16:47.095651700
168,Red Black Tree Search,100,115500,0.0,1,2026-08-19T09:16:47.095651700
169,BST Insert,100,167100,0.0,2,2026-08-19T09:16:47.095651700
170,Red Black Tree Insert,100,54600,0.0,2,2026-08-19T09:16:47.095651700
171,BST Search,100,343100,0.0,2,2026-08-19T09:16:47.095651700
172,Red Black Tree Search,100,108000,0.0,2,2026-08-19T09:16:47.095651700
173,BST Insert,100,143000,0.0,3,2026-08-19T09:16:47.095651700
174,Red Black Tree Insert,100,37800,0.0,3,2026-08-19T09:16:47.095651700
175,BST Search,100,159100,0.0,3,2026-08-19T09:16:47.095651700
176,Red Black Tree Search,100,71600,0.0,3,2026-08-19T09:16:47.095651700
177,BST Insert,500,2139700,0.0,1,2026-08-19T09:16:47.095651700
178,Red Black Tree Insert,500,206700,0.0,1,2026-08-19T09:16:47.095651700
179,BST Search,500,1968400,0.0,1,2026-08-19T09:16:47.095651700
180,Red Black Tree Search,500,400500,0.0,1,2026-08-19T09:16:47.095651700
181,BST Insert,500,906400,0.0,2,2026-08-19T09:16:47.095651700
182,Red Black Tree Insert,500,151200,0.0,2,2026-08-19T09:16:47.095651700
183,BST Search,500,3395900,0.0,2,2026-08-19T09:16:47.095651700
184,Red Black Tree Search,500,227400,0.0,2,2026-08-19T09:16:47.095651700
185,BST Insert,500,685900,0.0,3,2026-08-19T09:16:47.095651700
186,Red Black Tree Insert,500,148600,0.0,3,2026-08-19T09:16:47.095651700
187,BST Search,500,936800,0.0,3,2026-08-19T09:16:47.095651700
188,Red Black Tree Search,500,207500,0.0,3,2026-08-19T09:16:47.095651700
189,BST Insert,1000,2886400,0.0,1,2026-08-19T09:16:47.095651700
190,Red Black Tree Insert,1000,138600,0.0,1,2026-08-19T09:16:47.095651700
191,BST Search,1000,4259500,0.0,1,2026-08-19T09:16:47.095651700
192,Red Black Tree Search,1000,280500,0.0,1,2026-08-19T09:16:47.095651700
193,BST Insert,1000,3166700,0.0,2,2026-08-19T09:16:47.095651700
194,Red Black Tree Insert,1000,153300,1024.015625,2,2026-08-19T09:16:47.095651700
195,BST Search,1000,4280900,0.0,2,2026-08-19T09:16:47.095651700
196,Red Black Tree Search,1000,224000,0.0,2,2026-08-19T09:16:47.095651700
197,BST Insert,1000,2969300,0.0,3,2026-08-19T09:16:47.095651700
198,Red Black Tree Insert,1000,138600,0.0,3,2026-08-19T09:16:47.095651700
